zone_id,zone_num_wells,zone_center_latitude,zone_center_longitude,zone_area_km2,zone_average_gradient,zone_average_bht,Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km),Interpolated gradient,BHT,Suitable for 
27,8,31.29163694381714,-101.78434753417969,0.7964198218465126,22.285336389922108,76.6297123793258,"UNIVERSITY ""3-6"" 1",4246131782,UPTON,Plugged & Abandoned,OIL WELL,31.29876327514648,-101.7837448120117,8200.0,2.499,22.28429966876864,75.68846487225284,Suitable for heat generation
27,8,31.29163694381714,-101.78434753417969,0.7964198218465126,22.285336389922108,76.6297123793258,"University-White ""6"" 1",4246110504,UPTON,Plugged & Abandoned,Unknown,31.29318428039551,-101.7771911621094,7500.0,2.286,22.27561128231171,70.92204739136457,Suitable for heat generation
28,7,31.305511202130997,-101.7728500366211,0.8210220138734828,22.269365067213307,73.47794366250149,"UNIVERSITY WHITE ""6"" 1",4246110286,UPTON,Plugged & Abandoned,BLACK OIL,31.3023738861084,-101.7793121337891,7495.0,2.284,22.2781968218769,70.88340154116683,Suitable for heat generation
28,7,31.305511202130997,-101.7728500366211,0.8210220138734828,22.269365067213307,73.47794366250149,University-White 14 1,4246110174,UPTON,Plugged & Abandoned,OIL WELL,31.30956268310547,-101.7792510986328,7474.0,2.278,22.27789399615718,70.74904252324606,Suitable for heat generation
28,7,31.305511202130997,-101.7728500366211,0.8210220138734828,22.269365067213307,73.47794366250149,"UNIVERSITY ""58-14"" 1",4238331950,REAGAN,Plugged & Abandoned,VOLATILE OIL,31.30597305297852,-101.7748794555664,8200.0,2.499,22.27209432571543,75.65796371996285,Suitable for heat generation
28,7,31.305511202130997,-101.7728500366211,0.8210220138734828,22.269365067213307,73.47794366250149,"UNIVERSITY ""2-31"" 2",4238339001,REAGAN,Plugged & Abandoned,BLACK OIL,31.30287742614746,-101.7708969116211,8160.0,2.487,22.26680550813034,75.37754529872015,Suitable for heat generation
28,7,31.305511202130997,-101.7728500366211,0.8210220138734828,22.269365067213307,73.47794366250149,"UNIVERSITY ""15"" 3",4238333073,REAGAN,Plugged & Abandoned,VOLATILE OIL,31.30957412719727,-101.770622253418,8150.0,2.484,22.26622898349884,75.30931279501112,Suitable for heat generation
28,7,31.305511202130997,-101.7728500366211,0.8210220138734828,22.269365067213307,73.47794366250149,"UNIVERSITY ""15"" 1",4238311432,REAGAN,Plugged & Abandoned,BLACK OIL,31.30593299865723,-101.7685394287109,7477.0,2.279,22.26352496612525,70.73857339779944,Suitable for heat generation
28,7,31.305511202130997,-101.7728500366211,0.8210220138734828,22.269365067213307,73.47794366250149,"UNIVERSITY ""2-31"" 1",4238331982,REAGAN,Plugged & Abandoned,CONDENSATE,31.30228424072266,-101.7664489746094,8200.0,2.499,22.2608108689892,75.62976636160401,Suitable for heat generation
29,5,31.250971221923827,-101.76683807373044,0.6678941399207348,22.264123439569065,78.43004137225921,"University ""18-D"" 1",4238331964,REAGAN,Plugged & Abandoned,Unknown,31.24734497070312,-101.7711639404297,8185.0,2.495,22.27052968851054,75.5649715728338,Suitable for heat generation
29,5,31.250971221923827,-101.76683807373044,0.6678941399207348,22.264123439569065,78.43004137225921,"University ""18-A"" 1",4238331970,REAGAN,Plugged & Abandoned,Unknown,31.25466537475586,-101.7711029052734,8200.0,2.499,22.26999101070395,75.65270753574917,Suitable for heat generation
29,5,31.250971221923827,-101.76683807373044,0.6678941399207348,22.264123439569065,78.43004137225921,University 2-18 1,4238336436,REAGAN,Plugged & Abandoned,BLACK OIL,31.25094413757324,-101.7669067382812,10392.0,3.167,22.26439128442868,90.51132719778562,Suitable for heat generation
29,5,31.250971221923827,-101.76683807373044,0.6678941399207348,22.264123439569065,78.43004137225921,"University ""18-C"" 1",4238331968,REAGAN,Plugged & Abandoned,Unknown,31.24728584289551,-101.7625427246094,8100.0,2.469,22.25812342888093,74.95530674590701,Suitable for heat generation
29,5,31.250971221923827,-101.76683807373044,0.6678941399207348,22.264123439569065,78.43004137225921,"University ""18-B"" 1-D",4238331969,REAGAN,Plugged & Abandoned,OIL WELL,31.25461578369141,-101.7624740600586,8175.0,2.492,22.25758178532122,75.46589380902049,Suitable for heat generation
30,5,31.23234405517578,-101.74820098876954,0.456979808964242,22.255883552733557,72.69461285018876,"UNIV ""5"" 1",4238311135,REAGAN,Plugged & Abandoned,BLACK OIL,31.22817611694336,-101.750732421875,6990.0,2.131,22.27010229950246,67.45758800023974,Suitable for heat generation
30,5,31.23234405517578,-101.74820098876954,0.456979808964242,22.255883552733557,72.69461285018876,"University ""DU"" 1",4238310190,REAGAN,Plugged & Abandoned,Unknown,31.2325553894043,-101.7498168945312,10651.0,3.246,22.26333098548633,92.26677237888863,Suitable for heat generation
30,5,31.23234405517578,-101.74820098876954,0.456979808964242,22.255883552733557,72.69461285018876,"University ""AA"" 1",4238332220,REAGAN,Plugged & Abandoned,OIL WELL,31.23543548583984,-101.7506713867188,7020.0,2.14,22.26015397915034,67.63672951538172,Suitable for heat generation
30,5,31.23234405517578,-101.74820098876954,0.456979808964242,22.255883552733557,72.69461285018876,"TEXON ""5"" 1",4238332310,REAGAN,Plugged & Abandoned,CONDENSATE,31.22889709472656,-101.7452774047852,7170.0,2.185,22.24980427429546,68.61582233933558,Suitable for heat generation
30,5,31.23234405517578,-101.74820098876954,0.456979808964242,22.255883552733557,72.69461285018876,"University ""8"" 1",4238311060,REAGAN,Plugged & Abandoned,Unknown,31.23665618896484,-101.7445068359375,7007.0,2.136,22.23602622523322,67.49615201709815,Suitable for heat generation
31,7,31.066346304757253,-101.80538286481587,0.8684409025362466,22.207775919448643,86.55505685512688,"State University ""EK"" 1",4210533287,CROCKETT,Plugged & Abandoned,Dry Hole,31.0728702545166,-101.8029098510742,9596.0,2.925,22.30851908033937,85.25241830999265,Suitable for heat generation
31,7,31.066346304757253,-101.80538286481587,0.8684409025362466,22.207775919448643,86.55505685512688,ST OF TEX 1,4210531676,CROCKETT,Plugged & Abandoned,OIL WELL,31.06927108764648,-101.8074722290039,9615.0,2.931,22.25304223567937,85.22366679277623,Suitable for heat generation
