Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km)
"RIO FARMS ""A"" GAS UNIT 1",4248931164,WILLACY,Plugged & Abandoned,WET GAS,26.4841365814209,-97.99649047851562,11924.1796875,3.634
TORDILLA FIELD GAS UNIT 1 3,4248930999,WILLACY,Plugged & Abandoned,DRY GAS,26.57813835144043,-97.88436126708984,12770.0,3.892
WILLAMAR WEST UNIT 87,4248900362,WILLACY,Plugged & Abandoned,OTHER INJECTION,26.393220901489254,-97.5613784790039,7954.0,2.424
RIDER 1,4248732819,WILBARGER,Plugged & Abandoned,Unknown,34.233978271484375,-99.39849853515624,7682.0,2.341
KING RANCH CANELO 819,4227332556,KLEBERG,Plugged & Abandoned,DRY GAS,27.27588653564453,-97.95254516601562,8525.0,2.598
KING RANCH ALAZAN 231,4227302109,KLEBERG,Plugged & Abandoned,Unknown,27.481124877929688,-97.59139251708984,7950.5,2.423
"WARDNER, G.P. 183",4227332114,KLEBERG,Plugged & Abandoned,DRY GAS,27.60301971435547,-97.92161560058594,10329.0,3.148
KING RANCH TIJERINA A43,4227331191,KLEBERG,Plugged & Abandoned,Unknown,27.37234878540039,-98.00160217285156,7619.35009765625,2.322
RADFORD 1,4227332538,KLEBERG,Plugged & Abandoned,WET GAS,27.448392868041992,-97.81510925292967,7800.0,2.377
"BORREGOS, K. R. & SEELIGSON 468",4227330053,KLEBERG,Plugged & Abandoned,DRY GAS,27.50379753112793,-98.03839874267578,6969.830078125,2.124
KING RANCH CHILTIPIN 49,4227330466,KLEBERG,Plugged & Abandoned,Unknown,27.520538330078125,-97.5428466796875,7010.10986328125,2.137
KING RANCH BORREGOS M 65E,4227332336,KLEBERG,Plugged & Abandoned,WET GAS,27.42029571533203,-97.96392822265624,12837.1201171875,3.913
"BORREGOS, K. R. & SEELIGSON 478F",4227330130,KLEBERG,Plugged & Abandoned,VOLATILE OIL,27.475038528442383,-97.9747085571289,7207.31982421875,2.197
STATE 945 7,4227302116,KLEBERG,Plugged & Abandoned,Unknown,27.477224349975582,-97.27555847167967,7839.3701171875,2.389
KING RANCH TIJERINA 1088A,4227332208,KLEBERG,Plugged & Abandoned,DRY GAS,27.347198486328125,-98.01212310791016,11929.0498046875,3.636
STATE TRACT 924-S 1,4227332299,KLEBERG,Plugged & Abandoned,WET GAS,27.564697265625,-97.23068237304688,10800.6103515625,3.292
"SMITH, E. E. JR. ESTATE 4H",4217731923,GONZALES,Plugged & Abandoned,BLACK OIL,29.19272994995117,-97.65646362304688,9505.6396484375,2.897
KOLODZEY 2,4217533271,GOLIAD,Plugged & Abandoned,WET GAS,28.843414306640625,-97.28971862792967,11000.0,3.353
BALL UNIT 1,4217534026,GOLIAD,Plugged & Abandoned,Unknown,28.599929809570312,-97.51061248779295,15055.7900390625,4.589
"PETTUS, R. M. ET AL 1",4217533897,GOLIAD,Orphaned - Shut In,DRY GAS,28.671485900878903,-97.57494354248048,15422.2001953125,4.701
"RAMSEY, R. 2 T",4217502064,GOLIAD,Plugged & Abandoned,CONDENSATE,28.69812393188477,-97.53710174560548,9096.0,2.772
PARKHILL-BEDNORZ GAS UNIT 1,4217532739,GOLIAD,Plugged & Abandoned,WET GAS,28.811662673950195,-97.52574920654295,13963.6201171875,4.256
COHN 1,4217532879,GOLIAD,Plugged & Abandoned,Unknown,28.57022476196289,-97.53915405273438,13159.3095703125,4.011
